filename	min_trees	median_trees	max_trees	total_trees	PC_dist	patients	inferred_k	true_k	consensus_PC	selected_PC	clustering_recall	clustering_precision	clustering_Rand	selection_accuracy	sol_PC_dist	instance	method	M	m
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k4.solution.txt	2	12	282	1766	0.0	50	4	2	0.5	0.0	0.9408	1.0	0.9697959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k5.solution.txt	2	12	282	1766	0.0	50	5	2	0.6	0.00545455	0.9136	1.0	0.955918	0.98	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k6.solution.txt	2	12	282	1766	0.0	50	6	2	0.666667	0.00727273	0.8304	1.0	0.9134690000000001	0.92	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k7.solution.txt	2	12	282	1766	0.0	50	7	2	0.714286	0.0	0.784	1.0	0.8897959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k8.solution.txt	2	12	282	1766	0.0	50	8	2	0.75	0.0	0.8416	1.0	0.919184	1.0	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k9.solution.txt	2	12	282	1766	0.0	50	9	2	0.777778	0.0	0.8208	1.0	0.9085709999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k10.solution.txt	2	12	282	1766	0.0	50	10	2	0.8	0.0	0.6736	1.0	0.833469	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k1.solution.txt	2	12	282	1766	14.3333	50	1	2	0.5	0.130909	1.0	0.510204	0.510204	0.62	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k2.solution.txt	2	12	282	1766	0.0	50	2	2	0.0	0.0	1.0	1.0	1.0	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k3.solution.txt	2	12	282	1766	0.0	50	3	2	0.333333	0.0	0.9536	1.0	0.9763270000000001	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
