filename	min_trees	median_trees	max_trees	total_trees	PC_dist	patients	inferred_k
./k1_r1000_c100.solution.txt	1	1	6332	37809	220.778	1315	1
./k2_r1000_c100.solution.txt	1	1	6332	37809	187.889	1315	2
./k3_r1000_c100.solution.txt	1	1	6332	37809	162.222	1315	3
./k4_r1000_c100.solution.txt	1	1	6332	37809	153	1315	4
./k5_r1000_c100.solution.txt	1	1	6332	37809	123.556	1315	5
./k6_r1000_c100.solution.txt	1	1	6332	37809	118.444	1315	6
./k7_r1000_c100.solution.txt	1	1	6332	37809	111.222	1315	7
./k8_r1000_c100.solution.txt	1	1	6332	37809	92.2222	1315	8
./k9_r1000_c100.solution.txt	1	1	6332	37809	89	1315	9
./k10_r1000_c100.solution.txt	1	1	6332	37809	87.7778	1315	10
./k11_r1000_c100.solution.txt	1	1	6332	37809	87.7778	1315	11
./k12_r1000_c100.solution.txt	1	1	6332	37809	86.1111	1315	12
./k13_r1000_c100.solution.txt	1	1	6332	37809	83.4444	1315	13
./k14_r1000_c100.solution.txt	1	1	6332	37809	83.4444	1315	14
./k15_r1000_c100.solution.txt	1	1	6332	37809	80.3333	1315	15
